                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1129,                 1.3733,                 1.2496,                0.10749,                0.51635,                0.08347,                0.04876,                  1.274,                 20.898,                 1.4793,             0.00065942,             0.00065942,             0.00065942
                      1,                 1.1366,                 1.0083,                  1.274,                0.26205,                0.65123,                0.22008,                0.14459,                 1.0383,                  13.89,                 1.2723,              0.0013151,              0.0013151,              0.0013151
                      2,                 1.2127,                 1.0301,                 1.3186,                0.61157,                0.51771,                0.48745,                0.28701,                 1.4138,                  1.947,                 1.6836,              0.0019599,              0.0019599,              0.0019599
                      3,                 1.1585,                 0.9582,                 1.2839,                0.68444,                0.63351,                0.70244,                0.50052,                 1.0706,                 1.2886,                    1.2,              0.0019505,              0.0019505,              0.0019505
                      4,                 1.1075,                0.87941,                 1.2525,                0.80615,                0.64714,                0.72017,                0.52587,                   1.04,                 1.0158,                 1.2064,              0.0019505,              0.0019505,              0.0019505
                      5,                 1.0463,                0.84533,                 1.2259,                0.82875,                0.61717,                0.74479,                0.54758,                0.99669,                  1.078,                  1.143,               0.001934,               0.001934,               0.001934
                      6,                 1.0373,                0.83615,                 1.2057,                0.88946,                0.78202,                 0.8607,                0.65783,                0.89679,                 0.6873,                 1.0875,              0.0019175,              0.0019175,              0.0019175
                      7,                 0.9844,                0.78595,                 1.1834,                  0.898,                0.77248,                0.87227,                0.66208,                0.88614,                0.64646,                 1.0663,               0.001901,               0.001901,               0.001901
                      8,                0.96268,                0.76433,                 1.1658,                0.88997,                0.81744,                0.88024,                0.67211,                0.83554,                0.60187,                 1.0417,              0.0018845,              0.0018845,              0.0018845
                      9,                0.95064,                0.72342,                 1.1598,                0.88614,                0.76839,                0.85726,                 0.6495,                0.86849,                0.65436,                  1.062,               0.001868,               0.001868,               0.001868
                     10,                0.94878,                0.74073,                 1.1631,                0.89642,                0.82536,                0.88919,                0.68088,                0.82757,                0.56399,                 1.0442,              0.0018515,              0.0018515,              0.0018515
                     11,                0.93922,                0.71758,                 1.1549,                0.87982,                0.76975,                0.82861,                0.62842,                0.84563,                0.58655,                  1.055,               0.001835,               0.001835,               0.001835
                     12,                0.91982,                0.71475,                 1.1463,                0.92228,                0.82448,                0.89808,                0.70703,                0.77169,                0.53698,                 1.0153,              0.0018185,              0.0018185,              0.0018185
                     13,                0.88101,                0.68195,                 1.1306,                 0.9365,                0.79564,                0.89284,                0.70421,                0.76424,                0.54217,                 1.0066,               0.001802,               0.001802,               0.001802
                     14,                0.87469,                 0.6631,                 1.1342,                0.90826,                0.75204,                0.84647,                 0.6591,                0.83637,                0.65467,                 1.0618,              0.0017855,              0.0017855,              0.0017855
                     15,                0.89231,                 0.6736,                 1.1449,                0.89086,                0.80654,                0.88006,                0.68799,                0.80151,                 0.5665,                 1.0308,               0.001769,               0.001769,               0.001769
                     16,                0.87094,                0.67173,                 1.1295,                0.91344,                0.83388,                0.89989,                0.72008,                0.75358,                0.52117,                 1.0051,              0.0017525,              0.0017525,              0.0017525
                     17,                0.85718,                0.64048,                 1.1067,                 0.9096,                0.80877,                0.87593,                0.69626,                0.75608,                0.52948,                 1.0274,               0.001736,               0.001736,               0.001736
                     18,                0.86949,                0.65183,                 1.1269,                0.90751,                0.85422,                0.90648,                0.72732,                0.73726,                0.49837,                0.99795,              0.0017195,              0.0017195,              0.0017195
                     19,                 0.8342,                0.64941,                 1.1031,                0.91941,                0.82016,                0.90354,                  0.732,                0.71224,                0.49865,                  0.973,               0.001703,               0.001703,               0.001703
                     20,                0.84081,                0.63011,                 1.1023,                0.92539,                0.84877,                0.91226,                0.73151,                0.70735,                0.46838,                0.97317,              0.0016865,              0.0016865,              0.0016865
                     21,                0.82957,                0.62946,                 1.1057,                0.91754,                0.85967,                0.91098,                0.71526,                0.76722,                0.47809,                 1.0025,                0.00167,                0.00167,                0.00167
                     22,                0.82259,                0.62718,                 1.0834,                0.90241,                0.82698,                0.88685,                0.71037,                0.73349,                0.51767,                0.99065,              0.0016535,              0.0016535,              0.0016535
                     23,                0.81175,                0.61778,                 1.0911,                0.88733,                0.85559,                0.89515,                0.73471,                0.68536,                0.47293,                0.97927,               0.001637,               0.001637,               0.001637
                     24,                0.80647,                0.60838,                 1.0919,                0.91201,                 0.8297,                 0.9027,                0.73532,                0.70117,                0.47973,                0.98142,              0.0016205,              0.0016205,              0.0016205
                     25,                0.79519,                0.61043,                   1.08,                0.93402,                0.84196,                0.90899,                0.74396,                0.68584,                0.45281,                0.96621,               0.001604,               0.001604,               0.001604
                     26,                0.79633,                0.59939,                 1.0864,                 0.9438,                0.84647,                0.91327,                0.73351,                0.71316,                0.44927,                0.97849,              0.0015875,              0.0015875,              0.0015875
                     27,                0.81491,                0.59715,                  1.083,                0.89306,                0.86921,                0.91381,                0.74453,                0.69095,                0.46035,                0.97202,               0.001571,               0.001571,               0.001571
                     28,                0.79367,                0.56759,                 1.0799,                0.93375,                0.85422,                0.91186,                0.73523,                0.69428,                 0.4469,                0.97546,              0.0015545,              0.0015545,              0.0015545
                     29,                 0.7672,                0.55748,                 1.0636,                0.92265,                0.82834,                0.90605,                 0.7469,                0.68112,                0.45488,                0.96528,               0.001538,               0.001538,               0.001538
                     30,                0.78026,                0.58544,                 1.0686,                0.92941,                0.84305,                0.91464,                0.74557,                0.69427,                0.44876,                0.97358,              0.0015215,              0.0015215,              0.0015215
                     31,                0.80181,                0.57422,                 1.0825,                0.93222,                0.84314,                0.91431,                 0.7466,                0.67021,                0.45056,                0.96481,               0.001505,               0.001505,               0.001505
                     32,                0.78337,                0.58103,                 1.0797,                0.93287,                0.84469,                0.91622,                0.74439,                0.68681,                0.44049,                0.95816,              0.0014885,              0.0014885,              0.0014885
                     33,                0.75396,                0.55942,                  1.066,                0.89966,                0.86728,                0.90517,                0.73702,                0.67117,                0.43292,                0.98121,               0.001472,               0.001472,               0.001472
                     34,                0.75029,                0.54693,                 1.0468,                0.90206,                0.87836,                0.91832,                0.74437,                0.67702,                0.42362,                0.95984,              0.0014555,              0.0014555,              0.0014555
                     35,                0.77526,                 0.5629,                 1.0724,                0.93265,                0.86104,                0.92039,                0.75148,                0.65412,                0.42314,                0.93927,               0.001439,               0.001439,               0.001439
                     36,                0.75528,                0.56334,                 1.0623,                0.91434,                0.86512,                0.91206,                0.74813,                0.67739,                0.43517,                0.95866,              0.0014225,              0.0014225,              0.0014225
                     37,                0.76312,                0.53923,                 1.0523,                0.90252,                 0.8703,                0.91083,                0.74847,                  0.648,                0.44018,                0.95448,               0.001406,               0.001406,               0.001406
                     38,                0.74269,                0.52728,                 1.0612,                0.91763,                 0.8651,                0.91118,                0.74582,                0.68444,                 0.4232,                0.96507,              0.0013895,              0.0013895,              0.0013895
                     39,                0.74273,                0.55085,                 1.0535,                0.93014,                0.86104,                0.92101,                0.76256,                0.64233,                0.41194,                0.94799,               0.001373,               0.001373,               0.001373
                     40,                0.72914,                0.52687,                 1.0416,                0.89878,                  0.871,                0.90909,                0.74783,                0.67378,                0.44068,                0.96056,              0.0013565,              0.0013565,              0.0013565
                     41,                0.74175,                 0.5246,                 1.0436,                0.93242,                0.86376,                0.91298,                0.74914,                0.67397,                0.42352,                0.95736,                0.00134,                0.00134,                0.00134
                     42,                0.73798,                0.53222,                 1.0459,                0.90673,                0.87875,                0.91276,                0.74503,                0.69067,                0.43987,                0.95612,              0.0013235,              0.0013235,              0.0013235
                     43,                0.73362,                0.53296,                 1.0498,                0.90079,                0.87827,                0.91647,                0.75695,                0.65077,                0.42865,                0.95741,               0.001307,               0.001307,               0.001307
                     44,                0.71906,                0.51548,                 1.0306,                0.91913,                0.88256,                0.92657,                0.76746,                0.61759,                0.39264,                 0.9293,              0.0012905,              0.0012905,              0.0012905
                     45,                0.71533,                0.51699,                 1.0413,                0.92344,                0.85451,                0.91851,                0.75792,                0.64911,                0.40977,                0.94458,               0.001274,               0.001274,               0.001274
                     46,                0.67569,                0.50201,                 1.0135,                0.93271,                0.86873,                0.92227,                0.76998,                0.61982,                0.40426,                0.94028,              0.0012575,              0.0012575,              0.0012575
                     47,                0.69865,                0.50356,                  1.025,                0.93182,                0.85014,                0.91354,                0.76238,                0.65259,                0.42202,                0.95024,               0.001241,               0.001241,               0.001241
                     48,                0.70947,                0.50388,                  1.022,                0.91185,                0.88147,                0.91822,                0.77217,                 0.6388,                0.39655,                0.93891,              0.0012245,              0.0012245,              0.0012245
                     49,                0.69131,                0.49866,                 1.0258,                0.91728,                0.85695,                0.91518,                 0.7547,                0.65472,                0.41594,                0.94459,               0.001208,               0.001208,               0.001208
                     50,                0.67966,                0.50418,                 1.0196,                0.91908,                0.88283,                0.91825,                0.76062,                0.63248,                0.39623,                0.95254,              0.0011915,              0.0011915,              0.0011915
                     51,                0.69302,                0.50126,                 1.0308,                0.93338,                0.85897,                0.91259,                0.75967,                0.62557,                0.40822,                0.94455,               0.001175,               0.001175,               0.001175
                     52,                0.70837,                0.50842,                 1.0368,                0.93966,                 0.8406,                0.91179,                0.75908,                0.63483,                0.40555,                0.95298,              0.0011585,              0.0011585,              0.0011585
                     53,                0.69798,                0.50736,                 1.0302,                0.91338,                 0.8733,                0.91818,                0.77012,                0.63099,                0.39636,                0.93849,               0.001142,               0.001142,               0.001142
                     54,                0.69618,                0.48099,                 1.0215,                0.91889,                0.87979,                 0.9196,                0.77169,                0.60469,                0.39687,                0.93489,              0.0011255,              0.0011255,              0.0011255
                     55,                0.67718,                0.49308,                 1.0145,                0.92398,                0.88556,                0.92285,                0.78034,                0.59288,                0.38661,                0.92861,               0.001109,               0.001109,               0.001109
                     56,                0.68632,                0.49167,                 1.0215,                0.91653,                0.86921,                0.91603,                0.77505,                 0.6048,                0.38355,                0.92567,              0.0010925,              0.0010925,              0.0010925
                     57,                0.67713,                 0.4847,                  1.021,                0.92661,                0.89101,                 0.9266,                 0.7773,                0.61675,                0.39171,                0.92682,               0.001076,               0.001076,               0.001076
                     58,                0.67825,                0.48639,                 1.0207,                 0.9249,                0.88922,                0.92631,                 0.7815,                0.60636,                0.37743,                 0.9309,              0.0010595,              0.0010595,              0.0010595
                     59,                0.65679,                 0.4767,                 1.0058,                 0.9186,                 0.8842,                0.91843,                0.76851,                0.61253,                0.38515,                0.93504,               0.001043,               0.001043,               0.001043
                     60,                0.67042,                0.47777,                 1.0167,                0.92606,                0.89237,                0.92108,                0.77591,                0.60025,                0.37307,                 0.9318,              0.0010265,              0.0010265,              0.0010265
                     61,                0.69091,                0.49247,                 1.0256,                0.91007,                0.88556,                0.92052,                0.76747,                0.61235,                0.38583,                0.93573,                0.00101,                0.00101,                0.00101
                     62,                0.67097,                0.48609,                 1.0146,                0.91442,                0.87342,                0.92238,                0.77067,                 0.6388,                0.39248,                0.94406,              0.0009935,              0.0009935,              0.0009935
                     63,                0.67013,                0.47234,                  1.011,                 0.9369,                0.87875,                0.92219,                0.78099,                0.60691,                0.37736,                0.92009,               0.000977,               0.000977,               0.000977
                     64,                 0.6529,                0.46237,                0.99769,                0.92505,                0.87441,                 0.9241,                0.78453,                0.58835,                0.37637,                0.92292,              0.0009605,              0.0009605,              0.0009605
                     65,                0.63462,                0.45792,                0.98017,                0.94368,                 0.8733,                0.92546,                0.77752,                0.60543,                0.37472,                0.92679,               0.000944,               0.000944,               0.000944
                     66,                 0.6541,                0.45538,                 1.0059,                0.92815,                0.89101,                 0.9345,                0.79293,                0.59626,                0.35712,                0.91738,              0.0009275,              0.0009275,              0.0009275
                     67,                0.64224,                0.46109,                0.99581,                0.90384,                0.90054,                0.92861,                0.77791,                0.60565,                0.36774,                0.92014,               0.000911,               0.000911,               0.000911
                     68,                0.65691,                 0.4541,                 1.0041,                0.91537,                0.87738,                0.92072,                0.78118,                0.59467,                0.37522,                0.93124,              0.0008945,              0.0008945,              0.0008945
                     69,                0.63824,                0.45278,                0.99387,                0.93588,                0.87498,                0.92657,                0.78025,                0.59243,                0.36317,                0.92296,               0.000878,               0.000878,               0.000878
                     70,                0.63827,                0.44936,                0.99561,                0.93047,                0.88011,                0.92314,                 0.7755,                0.59642,                0.36274,                0.92214,              0.0008615,              0.0008615,              0.0008615
                     71,                0.64736,                0.44491,                0.99701,                0.94526,                0.86512,                  0.926,                0.78697,                0.58028,                 0.3567,                0.91644,               0.000845,               0.000845,               0.000845
                     72,                0.61772,                0.42667,                0.98285,                 0.9288,                0.86921,                0.92794,                0.78858,                0.58603,                0.36055,                0.91973,              0.0008285,              0.0008285,              0.0008285
                     73,                0.62692,                0.44216,                0.98468,                0.95042,                0.86512,                0.92866,                 0.7916,                0.58998,                0.35101,                0.91561,               0.000812,               0.000812,               0.000812
                     74,                0.62386,                0.43207,                0.98148,                 0.9281,                0.87924,                0.92597,                0.77107,                0.62381,                0.35912,                0.93091,              0.0007955,              0.0007955,              0.0007955
                     75,                0.62225,                0.43259,                0.98332,                0.90424,                 0.8951,                0.92455,                 0.7773,                0.58843,                0.36527,                0.92517,               0.000779,               0.000779,               0.000779
                     76,                0.62425,                0.44434,                0.98156,                0.93118,                0.87738,                0.92476,                0.78871,                0.56806,                0.35412,                0.91426,              0.0007625,              0.0007625,              0.0007625
                     77,                0.62351,                0.44066,                0.98649,                0.91577,                0.88869,                0.92637,                  0.782,                0.59786,                0.36374,                0.92428,               0.000746,               0.000746,               0.000746
                     78,                0.61338,                0.43192,                0.99167,                0.92916,                0.89352,                0.93182,                0.79194,                0.57498,                0.33915,                0.90772,              0.0007295,              0.0007295,              0.0007295
                     79,                0.60637,                0.41242,                0.97835,                0.93469,                0.89101,                0.92766,                0.78287,                0.58854,                0.35253,                0.92048,               0.000713,               0.000713,               0.000713
                     80,                0.60651,                0.42457,                0.97654,                0.93442,                0.87738,                0.92687,                 0.7911,                0.58449,                 0.3537,                0.91635,              0.0006965,              0.0006965,              0.0006965
                     81,                0.60575,                0.41943,                0.97932,                0.91764,                 0.8951,                 0.9258,                0.78945,                0.56357,                 0.3446,                0.91073,                0.00068,                0.00068,                0.00068
                     82,                0.59982,                0.42643,                 0.9792,                0.94431,                0.87738,                0.93161,                0.78209,                0.61356,                0.35321,                0.91768,              0.0006635,              0.0006635,              0.0006635
                     83,                0.60329,                  0.428,                0.97724,                0.92496,                0.89003,                0.92746,                0.79332,                0.58122,                0.34462,                0.92753,               0.000647,               0.000647,               0.000647
                     84,                0.60191,                0.41143,                0.97144,                0.94742,                0.85695,                0.92613,                0.78054,                0.59341,                0.35004,                0.92316,              0.0006305,              0.0006305,              0.0006305
                     85,                0.59656,                 0.4093,                0.97396,                0.92806,                0.89646,                0.92839,                0.78468,                0.59075,                0.35207,                0.91749,               0.000614,               0.000614,               0.000614
                     86,                0.58727,                0.40898,                0.96918,                0.94402,                0.88283,                0.92854,                0.79538,                0.57566,                0.34001,                0.91567,              0.0005975,              0.0005975,              0.0005975
                     87,                0.59085,                0.40142,                0.96783,                0.93505,                0.88256,                0.93259,                0.79911,                0.58723,                0.34573,                0.91068,               0.000581,               0.000581,               0.000581
                     88,                0.57791,                0.39503,                 0.9651,                0.91851,                0.89646,                0.92591,                0.78589,                0.59356,                0.33893,                 0.9288,              0.0005645,              0.0005645,              0.0005645
                     89,                0.58755,                0.40779,                0.96865,                0.94527,                0.88828,                0.93465,                0.80397,                0.56478,                0.32878,                 0.9084,               0.000548,               0.000548,               0.000548
                     90,                0.56934,                 0.3941,                0.95435,                0.93666,                 0.8865,                0.92853,                0.79679,                0.57356,                0.33647,                0.91316,              0.0005315,              0.0005315,              0.0005315
                     91,                0.57751,                0.40937,                0.96034,                0.94444,                0.88002,                0.92592,                0.79554,                0.55623,                0.33873,                0.90553,               0.000515,               0.000515,               0.000515
                     92,                0.59516,                 0.3992,                0.97354,                0.94324,                0.87466,                0.92581,                0.79793,                0.55803,                0.33926,                0.90803,              0.0004985,              0.0004985,              0.0004985
                     93,                 0.5684,                0.39342,                0.95164,                 0.9512,                0.88011,                0.93101,                0.80156,                0.56939,                0.32838,                0.90972,               0.000482,               0.000482,               0.000482
                     94,                 0.5695,                0.40083,                0.95845,                0.94828,                0.87435,                0.93184,                0.79879,                0.56308,                0.32387,                0.90282,              0.0004655,              0.0004655,              0.0004655
                     95,                0.57112,                0.38755,                0.96035,                0.93688,                0.88979,                0.92863,                0.79489,                0.57131,                0.32709,                0.92157,               0.000449,               0.000449,               0.000449
                     96,                0.57232,                0.39049,                0.96609,                0.94042,                0.88692,                0.92975,                0.80431,                0.55436,                0.32228,                0.90806,              0.0004325,              0.0004325,              0.0004325
                     97,                0.56671,                 0.3955,                0.95542,                0.93724,                0.89782,                0.93379,                0.80482,                0.54501,                0.32377,                0.90254,               0.000416,               0.000416,               0.000416
                     98,                0.57032,                0.39509,                0.95926,                0.92922,                0.89425,                0.92828,                0.80335,                0.55671,                0.32501,                 0.9066,              0.0003995,              0.0003995,              0.0003995
                     99,                0.55249,                0.37992,                0.95119,                0.93003,                0.90327,                0.93039,                0.79998,                0.55883,                0.31825,                0.90742,               0.000383,               0.000383,               0.000383
                    100,                0.57089,                0.39092,                0.95652,                0.92001,                0.89322,                0.92966,                0.79958,                0.55519,                0.32682,                0.90413,              0.0003665,              0.0003665,              0.0003665
                    101,                0.55436,                0.37971,                0.95232,                0.93747,                0.88965,                0.92788,                0.80271,                0.55719,                0.32318,                0.90993,                0.00035,                0.00035,                0.00035
                    102,                0.54992,                0.37571,                  0.958,                0.93233,                0.88965,                0.92972,                0.80211,                0.56091,                0.32151,                0.90995,              0.0003335,              0.0003335,              0.0003335
                    103,                0.55138,                0.37653,                0.95177,                0.92355,                0.90054,                0.92782,                0.79683,                0.56498,                 0.3207,                0.92134,               0.000317,               0.000317,               0.000317
                    104,                0.54939,                0.36552,                 0.9573,                0.93993,                 0.8954,                0.93146,                0.80504,                0.56083,                0.31949,                0.90779,              0.0003005,              0.0003005,              0.0003005
                    105,                0.54301,                0.37236,                 0.9496,                0.93805,                0.88707,                   0.93,                0.80522,                 0.5622,                0.31469,                0.90894,               0.000284,               0.000284,               0.000284
                    106,                0.54101,                0.37155,                0.95537,                0.94486,                0.88283,                 0.9312,                0.80365,                0.55582,                0.31707,                0.90493,              0.0002675,              0.0002675,              0.0002675
                    107,                 0.5417,                0.36308,                0.94093,                 0.9348,                 0.8951,                0.93109,                0.80342,                0.56027,                0.31706,                 0.9074,               0.000251,               0.000251,               0.000251
                    108,                 0.5409,                  0.366,                0.95183,                0.93596,                0.89603,                 0.9312,                0.80682,                0.55062,                0.31581,                0.90508,              0.0002345,              0.0002345,              0.0002345
                    109,                0.52061,                0.35924,                0.93506,                0.94365,                0.88976,                0.93362,                0.80738,                0.54697,                0.31266,                0.90812,               0.000218,               0.000218,               0.000218
                    110,                0.42726,                0.25402,                0.83808,                0.94303,                0.88283,                0.93266,                0.80941,                0.54298,                0.31563,                0.90869,              0.0002015,              0.0002015,              0.0002015
                    111,                0.41534,                0.24776,                0.83736,                0.94454,                0.88828,                0.93253,                0.80687,                0.55488,                0.31436,                0.90925,               0.000185,               0.000185,               0.000185
                    112,                0.40517,                0.24018,                0.83319,                0.94478,                0.88283,                0.93119,                0.80764,                 0.5512,                0.31319,                0.90984,              0.0001685,              0.0001685,              0.0001685
                    113,                0.40538,                0.23932,                0.83108,                0.93629,                0.90097,                0.93337,                0.80723,                0.54832,                0.31163,                0.90797,               0.000152,               0.000152,               0.000152
                    114,                0.39882,                0.23598,                0.82875,                0.94897,                0.88669,                0.93262,                0.80892,                0.54362,                0.30866,                0.91021,              0.0001355,              0.0001355,              0.0001355
                    115,                0.39108,                0.23219,                0.82445,                0.94475,                0.88556,                0.92924,                0.80824,                0.54945,                0.30912,                0.90976,               0.000119,               0.000119,               0.000119
                    116,                0.38791,                0.23156,                0.82392,                0.94489,                0.88762,                0.93201,                0.80945,                0.55047,                0.30758,                0.90759,              0.0001025,              0.0001025,              0.0001025
                    117,                 0.3925,                0.23217,                0.82409,                0.94601,                0.88328,                0.93099,                0.80786,                0.54685,                0.30923,                0.90655,                8.6e-05,                8.6e-05,                8.6e-05
                    118,                0.38474,                 0.2285,                0.81954,                0.94305,                0.88692,                0.93229,                0.80838,                0.54401,                0.30912,                 0.9054,               6.95e-05,               6.95e-05,               6.95e-05
                    119,                0.37807,                0.22479,                 0.8226,                0.93647,                0.88363,                0.93072,                0.80872,                0.54607,                0.30677,                0.90949,                5.3e-05,                5.3e-05,                5.3e-05
